lq,hq
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00003_洇00003_063.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00003_原00003_063.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00003_洇00003_069.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00003_原00003_069.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00003_洇00003_070.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00003_原00003_070.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00003_洇00003_078.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00003_原00003_078.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00003_洇00003_089.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00003_原00003_089.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00004_洇00004_001.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00004_原00004_001.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00004_洇00004_004.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00004_原00004_004.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00004_洇00004_008.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00004_原00004_008.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00004_洇00004_010.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00004_原00004_010.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00004_洇00004_011.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00004_原00004_011.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00004_洇00004_014.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00004_原00004_014.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00004_洇00004_019.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00004_原00004_019.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00004_洇00004_024.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00004_原00004_024.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00004_洇00004_025.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00004_原00004_025.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00004_洇00004_029.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00004_原00004_029.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00004_洇00004_030.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00004_原00004_030.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00004_洇00004_044.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00004_原00004_044.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00004_洇00004_052.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00004_原00004_052.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00004_洇00004_054.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00004_原00004_054.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00004_洇00004_056.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00004_原00004_056.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00004_洇00004_067.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00004_原00004_067.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00004_洇00004_071.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00004_原00004_071.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00004_洇00004_072.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00004_原00004_072.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00005_洇00005_001.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00005_原00005_001.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00005_洇00005_005.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00005_原00005_005.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00005_洇00005_013.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00005_原00005_013.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00005_洇00005_014.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00005_原00005_014.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00005_洇00005_017.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00005_原00005_017.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00005_洇00005_021.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00005_原00005_021.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00005_洇00005_024.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00005_原00005_024.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00005_洇00005_030.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00005_原00005_030.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00005_洇00005_049.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00005_原00005_049.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00005_洇00005_052.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00005_原00005_052.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00005_洇00005_058.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00005_原00005_058.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00005_洇00005_073.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00005_原00005_073.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00005_洇00005_079.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00005_原00005_079.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00005_洇00005_119.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00005_原00005_119.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00005_洇00005_121.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00005_原00005_121.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00005_洇00005_127.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00005_原00005_127.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00007_洇00007_001.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00007_原00007_001.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00007_洇00007_007.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00007_原00007_007.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00007_洇00007_009.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00007_原00007_009.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00007_洇00007_011.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00007_原00007_011.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00007_洇00007_015.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00007_原00007_015.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00007_洇00007_028.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00007_原00007_028.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00007_洇00007_033.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00007_原00007_033.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00007_洇00007_039.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00007_原00007_039.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00007_洇00007_040.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00007_原00007_040.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00007_洇00007_044.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00007_原00007_044.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00007_洇00007_046.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00007_原00007_046.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00007_洇00007_047.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00007_原00007_047.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00007_洇00007_063.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00007_原00007_063.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00019_洇00019_005.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00019_原00019_005.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00019_洇00019_010.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00019_原00019_010.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00020_洇00020_003.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00020_原00020_003.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00020_洇00020_006.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00020_原00020_006.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00020_洇00020_008.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00020_原00020_008.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00020_洇00020_023.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00020_原00020_023.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00021_洇00021_011.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00021_原00021_011.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00021_洇00021_021.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00021_原00021_021.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00021_洇00021_023.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00021_原00021_023.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00021_洇00021_024.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00021_原00021_024.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00021_洇00021_025.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00021_原00021_025.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00021_洇00021_037.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00021_原00021_037.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00021_洇00021_040.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00021_原00021_040.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00021_洇00021_045.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00021_原00021_045.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00021_洇00021_050.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00021_原00021_050.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00022_洇00022_004.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00022_原00022_004.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00022_洇00022_015.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00022_原00022_015.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00022_洇00022_018.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00022_原00022_018.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00022_洇00022_023.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00022_原00022_023.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00022_洇00022_026.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00022_原00022_026.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00022_洇00022_030.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00022_原00022_030.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00022_洇00022_033.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00022_原00022_033.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00022_洇00022_038.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00022_原00022_038.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00022_洇00022_039.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00022_原00022_039.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00022_洇00022_053.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00022_原00022_053.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00022_洇00022_059.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00022_原00022_059.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00022_洇00022_060.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00022_原00022_060.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00023_洇00023_008.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00023_原00023_008.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00023_洇00023_009.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00023_原00023_009.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00023_洇00023_026.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00023_原00023_026.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00023_洇00023_028.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00023_原00023_028.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00023_洇00023_033.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00023_原00023_033.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00023_洇00023_037.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00023_原00023_037.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00024_洇00024_010.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00024_原00024_010.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00024_洇00024_014.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00024_原00024_014.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00024_洇00024_017.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00024_原00024_017.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00024_洇00024_020.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00024_原00024_020.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00024_洇00024_024.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00024_原00024_024.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00024_洇00024_031.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00024_原00024_031.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00024_洇00024_039.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00024_原00024_039.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00024_洇00024_042.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00024_原00024_042.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00024_洇00024_052.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00024_原00024_052.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00024_洇00024_053.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00024_原00024_053.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00024_洇00024_054.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00024_原00024_054.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00024_洇00024_058.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00024_原00024_058.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00024_洇00024_070.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00024_原00024_070.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00025_洇00025_006.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00025_原00025_006.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00025_洇00025_012.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00025_原00025_012.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00025_洇00025_014.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00025_原00025_014.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00025_洇00025_017.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00025_原00025_017.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00025_洇00025_021.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00025_原00025_021.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00025_洇00025_022.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00025_原00025_022.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00025_洇00025_023.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00025_原00025_023.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00025_洇00025_027.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00025_原00025_027.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00025_洇00025_033.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00025_原00025_033.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00025_洇00025_036.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00025_原00025_036.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00025_洇00025_038.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00025_原00025_038.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00025_洇00025_042.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00025_原00025_042.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00025_洇00025_044.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00025_原00025_044.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00025_洇00025_047.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00025_原00025_047.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00025_洇00025_048.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00025_原00025_048.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00026_洇00026_014.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00026_原00026_014.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00026_洇00026_047.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00026_原00026_047.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00026_洇00026_052.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00026_原00026_052.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00027_洇00027_021.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00027_原00027_021.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00028_洇00028_001.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00028_原00028_001.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00028_洇00028_007.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00028_原00028_007.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00028_洇00028_009.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00028_原00028_009.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00028_洇00028_013.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00028_原00028_013.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00028_洇00028_016.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00028_原00028_016.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00028_洇00028_020.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00028_原00028_020.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00028_洇00028_025.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00028_原00028_025.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00028_洇00028_027.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00028_原00028_027.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00028_洇00028_037.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00028_原00028_037.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00028_洇00028_038.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00028_原00028_038.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00028_洇00028_040.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00028_原00028_040.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00028_洇00028_042.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00028_原00028_042.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00028_洇00028_065.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00028_原00028_065.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00028_洇00028_069.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00028_原00028_069.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00029_洇00029_022.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00029_原00029_022.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00029_洇00029_026.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00029_原00029_026.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00030_洇00030_007.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00030_原00030_007.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00030_洇00030_028.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00030_原00030_028.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00030_洇00030_037.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00030_原00030_037.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00030_洇00030_057.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00030_原00030_057.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00030_洇00030_058.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00030_原00030_058.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00030_洇00030_061.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00030_原00030_061.png
/data/xjc/训练集+测试集（首映版）/train/Blue/A/ink/00030_洇00030_072.png,/data/xjc/训练集+测试集（首映版）/train/Blue/A/origin/00030_原00030_072.png
